source_file,period,rows,COP_mean,COP_median,eer_mean,eer_median,EER_mean,EER_median,kw_mean,kw_median,kweperkwr_mean,kweperkwr_median,kwr_mean,kwr_median,kwton_mean,kwton_median,kwton_1_mean,kwton_1_median,kW_mean,kW_median,Meter 1 kWh_mean,Meter 1 kWh_median
ATT CTH Data Tables CDD Runtimes.csv,unknown,497,,,,,,,,,,,,,,,,,,,,
Baseline_507 thermal data.csv,baseline,52981,2.407756003117061,2.45943974,8.016066514410827,8.2,8.01607191835711,8.200796699,4.268131594345142,4.24,1.5478973594307393,1.43,0.0,0.0,1.5478973594307393,1.43,1.5478973594307393,1.43,,,,
Baseline_509 Thermal Data.csv,baseline,46304,1.8388953089536972,1.890859585,6.009162491361438,6.24,6.0091461642965625,6.2412161315,5.468866836558396,5.46,2.0484692467173464,1.86,0.0,0.0,2.0484692467173464,1.86,2.0484692467173464,1.86,,,,
Baseline_510 Thermal Data.csv,baseline,83300,0.9474128999340455,0.974237902,2.9962446578631448,3.09,2.9962410737425573,3.0867649459999997,4.12601356542617,4.14,4.064882833133252,3.61,0.0,0.0,4.064882833133252,3.61,4.064882833133252,3.61,,,,
Baseline_520 Thermal Data.csv,baseline,92487,2.1006344447727034,2.170986931,6.996483792141514,7.23,6.996484512085417,7.230432176,5.53771543801224,5.58,1.8328362130484614,1.62,0.0,0.0,1.8328362130484614,1.62,1.8328362130484608,1.62,,,,
Node 507 Baseline.xlsx,baseline,28575,,,,,,,,,,,,,,,,,,,,
Node 507 Post.xlsx,post,28638,,,,,,,,,,,,,,,,,,,,
Node 509 Baseline.xlsx,baseline,28364,,,,,,,,,,,,,,,,,,,,
Node 509 Post.xlsx,post,28695,,,,,,,,,,,,,,,,,,,,
Node 510 Baseline.xlsx,baseline,28423,,,,,,,,,,,,,,,,,,,,
Node 510 Post.xlsx,post,28708,,,,,,,,,,,,,,,,,,,,
Node 511 Baseline.xlsx,baseline,28546,,,,,,,,,,,,,,,,,,,,
Node 511 Post.xlsx,post,28769,,,,,,,,,,,,,,,,,,,,
Node 512 Baseline.xlsx,baseline,28594,,,,,,,,,,,,,,,,,,,,
Node 512 Post.xlsx,post,28777,,,,,,,,,,,,,,,,,,,,
Node 513 Baseline.xlsx,baseline,27591,,,,,,,,,,,,,,,,,,,,
Node 513 Post.xlsx,post,28594,,,,,,,,,,,,,,,,,,,,
Node 514 Baseline.xlsx,baseline,27635,,,,,,,,,,,,,,,,,,,,
Node 514 Post.xlsx,post,28624,,,,,,,,,,,,,,,,,,,,
Node 515 Baseline.xlsx,baseline,28583,,,,,,,,,,,,,,,,,,,,
Node 515 Post.xlsx,post,28593,,,,,,,,,,,,,,,,,,,,
Node 516 Baseline.xlsx,baseline,28456,,,,,,,,,,,,,,,,,,,,
Node 516 Post.xlsx,post,28698,,,,,,,,,,,,,,,,,,,,
Node 517 Baseline.xlsx,baseline,28532,,,,,,,,,,,,,,,,,,,,
Node 517 Post.xlsx,post,28626,,,,,,,,,,,,,,,,,,,,
Node 518 Baseline.xlsx,baseline,28536,,,,,,,,,,,,,,,,,,,,
Node 518 Post.xlsx,post,28770,,,,,,,,,,,,,,,,,,,,
Node 519 Baseline.xlsx,baseline,28621,,,,,,,,,,,,,,,,,,,,
Node 519 Post.xlsx,post,28767,,,,,,,,,,,,,,,,,,,,
Node 520 Baseline.xlsx,baseline,28551,,,,,,,,,,,,,,,,,1.654792978008714,0.0,40253.72093543199,0.0
Node 520 Post.xlsx,post,28750,,,,,,,,,,,,,,,,,1.2319264556172453,0.0,1637.44031820105,1655.09999999999
Node 521 Baseline.xlsx,baseline,28531,,,,,,,,,,,,,,,,,,,,
Node 521 Post.xlsx,post,28763,,,,,,,,,,,,,,,,,,,,
Node 522 Baseline.xlsx,baseline,28518,,,,,,,,,,,,,,,,,,,,
Node 522 Post.xlsx,post,28774,,,,,,,,,,,,,,,,,,,,
Node 523 Baseline.xlsx,baseline,28577,,,,,,,,,,,,,,,,,,,,
Node 523 Post.xlsx,post,28634,,,,,,,,,,,,,,,,,,,,
Node 524 Baseline.xlsx,baseline,28562,,,,,,,,,,,,,,,,,,,,
Node 524 Post.xlsx,post,27495,,,,,,,,,,,,,,,,,,,,
Node 525 Baseline.xlsx,baseline,28391,,,,,,,,,,,,,,,,,,,,
Node 525 Post.xlsx,post,28592,,,,,,,,,,,,,,,,,,,,
Node 526 Baseline.xlsx,baseline,28587,,,,,,,,,,,,,,,,,,,,
Node 526 Post.xlsx,post,28722,,,,,,,,,,,,,,,,,,,,
Post_507 Thermal Data.csv,post,42664,3.8712356271287502,4.089533521,12.843986733545846,13.58,12.843969811581989,13.58402894,4.5670073129570605,4.56,,,,,0.9667087005437841,0.86,0.9667087005437841,0.86,,,,
Post_509 Thermal Data.csv,post,68164,2.052029162500543,2.04476676,6.655104747373981,6.78,6.65505488427362,6.7795940905,5.484998679654949,5.51,1.9241178628014786,1.72,0.0,0.0,1.9241178628014786,1.72,1.9241178628014786,1.72,,,,
Post_510 Thermal Data.csv,post,1912,1.3311024219801255,1.3605462225,4.250261506276151,4.355,4.250271101768829,4.353737111,4.437599372384938,4.48,2.772097280334728,2.585,0.0,0.0,2.772097280334728,2.585,2.772097280334728,2.585,,,,
Post_520 Thermal Data.csv,post,26536,2.4359388100989223,2.269031502,7.810979084228376,7.6,7.811847083032634,7.59775476,5.6252003014886,5.7,1.6838620689655173,1.55,0.0,0.0,1.6838620689655173,1.55,1.6838620689655186,1.55,,,,
