source_file,period,rows,Meter 1 kWh_mean,Meter 1 kWh_median,Outdoor Air Temperature (F)_mean,Outdoor Air Temperature (F)_median
ATT CTH 511 Post 2024.xlsx,post,28736,,,,
ATT CTH 511 Post v2 2023.xlsx,post,28471,5052.939595380296,5057.4,82.26387727649443,80.24
ATT CTH 512 Post 2024.xlsx,post,28735,,,,
ATT CTH 512 Post v2 2023.xlsx,post,28472,,,,
ATT CTH 513 Post 2024.xlsx,post,27302,,,,
ATT CTH 513 Post v2 2023.xlsx,post,28222,,,,
ATT CTH 514 Post 2024.xlsx,post,28736,,,,
ATT CTH 514 Post v2 2023.xlsx,post,28156,,,,
ATT CTH 515 Post 2024.xlsx,post,28744,,,,
ATT CTH 515 Post v2 2023.xlsx,post,28666,,,,
ATT CTH 516 Post 2024.xlsx,post,28741,,,,
ATT CTH 516 Post v2 2023.xlsx,post,28234,,,,
ATT CTH 517 Post 2024.xlsx,post,28732,,,,
ATT CTH 517 Post v2 2023.xlsx,post,26998,,,,
ATT CTH 518 Post 2024.xlsx,post,28732,,,,
ATT CTH 518 Post v2 2023.xlsx,post,27852,,,,
ATT CTH 519 Post 2024.xlsx,post,28716,,,,
ATT CTH 520 Post 2024.xlsx,post,28721,,,,
ATT CTH 520 Post v2 2023.xlsx,post,27745,,,,
ATT CTH 521 Post 2024.xlsx,post,28750,,,,
ATT CTH 521 Post v2 2023.xlsx,post,28463,,,,
ATT CTH 522 Post 2024.xlsx,post,28750,,,,
ATT CTH 522 Post v2 2023.xlsx,post,28392,,,,
ATT CTH 523 Post 2024.xlsx,post,28710,,,,
ATT CTH 523 Post v2 2023.xlsx,post,21310,,,,
ATT CTH 524 Post 2024.xlsx,post,28705,,,,
ATT CTH 524 Post v2 2023.xlsx,post,26474,,,,
ATT CTH 525 Post 2024.xlsx,post,28709,,,,
ATT CTH 525 Post v2 2023.xlsx,post,28339,,,,
ATT CTH 526 Post 2024.xlsx,post,28709,,,,
ATT CTH 526 Post v2 2023.xlsx,post,28395,,,,
511 Baseline 2.xlsx,baseline,26974,,,,
512 baseline 2.xlsx,baseline,31260,,,,
513 baseline 2 .xlsx,baseline,27522,,,,
514 baseline 2.xlsx,baseline,27402,,,,
515 baseline 2.xlsx,baseline,28547,,,,
516 baseline 2.xlsx,baseline,28382,,,,
517 baseline 2.xlsx,baseline,29991,,,,
518 baseline 2.xlsx,baseline,28578,,,,
520 Baseline 2 - no kWh data.xlsx,baseline,41234,,,,
521 Baseline 2.xlsx,baseline,31408,,,,
522 Baseline 2.xlsx,baseline,28530,,,,
523 Baseline 2.xlsx,baseline,28475,,,,
524 Baseline 2.xlsx,baseline,28363,,,,
525 Baseline 2.xlsx,baseline,28432,,,,
526 Baseline 2.xlsx,baseline,28505,,,,
ATT CTH Data Tables CDD Runtimes.xlsx,unknown,407,,,,
ATT CTH Data Tables CDD Runtimes_REVISED.xlsx,unknown,407,,,,
